_id,psuedocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,func_boys_cwsn_friendly,func_girls_cwsn_friendly,urinal_boys,urinla_girls,handwash_near_toilet,drinking_water_available,drinking_water_functional,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,playground_available,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,ict_lab,laptop,tablet,desktop,digiboard,projector,printer,internet,dth
451,6443099,3,1,1,5,4,1,0,0,4,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,2,1,2,0,2,0,0,0,0,0,0,2,2
452,4957516,1,1,1,5,2,0,2,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,2,1,2,0,2,0,0,0,0,0,0,2,2
453,2700528,3,1,1,7,22,4,18,3,1,1,0,0,12,12,0,1,0,12,1,1,1,2,1,1,1,1,1,1,1,2,900,1,0,0,12,1,0,3,1,2
454,6366633,3,1,1,1,24,3,15,7,2,1,9,9,0,0,0,0,19,0,1,1,1,2,1,1,2,1,1,1,1,2,1020,2,0,0,3,0,0,1,1,2
455,3725941,1,1,1,7,7,0,7,0,0,1,3,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,2,2,2,50,2,0,0,0,0,0,0,2,2
456,6537581,1,1,1,1,1,1,1,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,2,2,2,20,2,0,0,0,0,0,0,2,2
457,7757928,3,1,1,1,7,7,7,0,0,1,4,4,3,3,1,0,6,3,1,1,1,1,1,1,2,1,1,1,1,1,215,1,0,11,10,0,1,1,1,2
458,7176801,3,2,2,1,19,8,16,3,0,1,3,3,3,3,0,0,3,3,1,1,1,2,1,1,2,1,2,1,1,2,215,1,0,0,5,0,3,2,1,2
459,6195715,4,1,1,1,10,3,10,0,0,1,6,6,2,2,0,0,6,2,1,1,1,2,1,1,3,1,1,1,1,2,350,2,0,1,0,0,1,0,1,2
460,7736980,1,3,3,7,22,6,22,0,0,1,1,1,13,13,1,0,1,20,1,1,1,2,1,1,1,1,1,1,1,1,942,2,0,0,0,0,1,0,1,2
461,3819135,4,1,1,5,5,3,5,0,0,1,3,3,3,3,0,0,3,3,1,1,1,2,1,1,2,1,1,1,1,2,80,2,0,0,0,0,0,0,2,2
462,2338279,4,1,1,1,2,1,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,1,2,1,1,3,2,0,0,0,0,0,0,2,2
463,8954136,3,1,1,1,14,4,10,2,2,1,1,1,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,131,2,0,0,1,0,1,0,2,2
464,5293760,4,1,1,2,2,0,0,2,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,2,1,1,0,2,0,0,0,0,0,0,2,2
465,7266620,1,1,1,1,38,4,38,0,0,1,0,0,29,29,0,0,0,29,1,1,1,2,1,1,1,1,2,1,1,1,1970,1,1,0,32,0,1,2,1,2
466,9360644,3,1,1,1,17,13,5,7,5,1,0,0,7,7,0,1,0,11,1,1,1,1,1,1,3,1,2,1,1,1,450,1,1,0,4,0,1,1,1,2
467,2903495,3,1,1,1,5,2,5,0,0,2,2,2,2,2,0,0,2,2,1,1,1,2,1,1,2,1,1,1,1,2,40,2,0,0,0,0,0,0,2,2
468,5861426,3,3,3,1,40,0,37,0,3,1,5,5,3,3,0,0,2,4,1,1,1,2,1,1,2,1,1,2,1,1,1930,1,1,0,52,1,5,6,1,2
469,6374113,1,2,2,1,16,14,10,0,6,1,2,2,2,2,0,0,4,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,9,0,1,1,1,2
470,8342521,3,4,4,1,33,15,18,10,5,1,10,10,2,2,2,1,8,3,1,1,1,2,1,1,3,1,2,1,1,2,836,2,1,0,20,0,3,2,1,2
